市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
个股,2026-07-23,600406,国电南瑞,84,2,24.37,23.9,-1.93,2,False,113.38,53.44,18.51,23.53,29.2,3.66,37.54,全样本(基准)
个股,2026-07-23,600519,贵州茅台,8,2,1292.01,1289.5,-0.19,2,False,69.1,79.85,25.37,19.53,2.99,5.96,1.73,全样本(基准)
个股,2026-07-23,600690,海尔智家,81,2,21.86,21.87,0.05,2,False,86.29,95.44,12.69,10.95,5.4,1.64,3.71,全样本(基准)
个股,2026-07-23,600900,长江电力,21,2,28.94,28.35,-2.04,2,False,75.69,95.94,85.25,19.62,56.1,3.11,80.1,全样本(基准)
个股,2026-07-23,600919,江苏银行,75,2,11.54,11.48,-0.52,2,False,74.42,69.8,88.43,6.0,79.86,0.8,87.28,全样本(基准)
个股,2026-07-23,600930,华电新能,96,2,4.37,4.24,-2.97,2,False,35.78,3.31,4.75,28.47,10.89,1.65,2.02,全样本(基准)
个股,2026-07-23,600938,中国海油,9,2,32.99,31.55,-4.36,2,False,97.91,58.9,19.33,12.58,90.89,1.87,78.2,全样本(基准)
个股,2026-07-23,600941,中国移动,4,2,94.43,94.39,-0.04,2,False,69.24,62.19,29.9,15.08,37.33,1.44,29.06,全样本(基准)
个股,2026-07-23,600989,宝丰能源,100,2,24.29,23.38,-3.75,1,True,101.06,60.18,19.52,14.17,12.72,3.42,69.91,全样本(基准)
个股,2026-07-23,601066,中信建投,79,2,26.91,26.45,-1.71,2,False,50.02,48.13,67.61,18.53,11.15,2.42,25.66,全样本(基准)
个股,2026-07-23,601088,中国神华,15,2,45.32,44.83,-1.08,2,False,75.01,59.14,42.68,19.06,98.31,2.04,93.98,全样本(基准)
个股,2026-07-23,601138,工业富联,10,2,62.88,61.55,-2.12,2,False,64.95,3.11,47.36,30.7,89.65,7.08,91.73,全样本(基准)
个股,2026-07-23,601166,兴业银行,36,2,18.26,18.3,0.22,2,False,75.12,77.54,26.22,4.99,35.47,0.47,7.33,全样本(基准)
个股,2026-07-23,601211,国泰海通,41,2,19.05,18.95,-0.52,2,False,103.13,81.2,47.24,15.3,65.83,1.03,38.41,全样本(基准)
个股,2026-07-23,601225,陕西煤业,58,2,25.25,24.56,-2.73,2,False,91.35,69.76,57.0,15.14,98.55,2.4,85.35,全样本(基准)
个股,2026-07-23,601288,农业银行,3,2,6.59,6.72,1.97,2,False,81.03,73.94,4.44,7.84,90.51,0.82,79.47,全样本(基准)
个股,2026-07-23,601318,中国平安,14,2,54.3,53.41,-1.64,2,False,95.79,77.03,2.21,7.4,8.14,0.97,22.12,全样本(基准)
个股,2026-07-23,601319,中国人保,42,2,7.59,7.44,-1.98,2,False,92.25,106.27,5.41,7.88,14.55,1.05,33.49,全样本(基准)
个股,2026-07-23,601328,交通银行,25,2,6.95,7.01,0.86,2,False,70.39,89.82,39.9,6.37,85.54,0.53,48.82,全样本(基准)
个股,2026-07-23,601336,新华保险,80,2,65.72,63.3,-3.68,2,False,85.41,101.16,9.2,5.56,5.45,1.66,53.49,全样本(基准)
个股,2026-07-23,601398,工商银行,1,2,7.68,7.73,0.65,2,False,67.02,82.87,52.0,7.37,90.55,0.69,57.49,全样本(基准)
个股,2026-07-23,601601,中国太保,47,2,32.81,31.62,-3.63,2,False,107.87,91.29,3.33,5.85,1.88,0.99,13.49,全样本(基准)
个股,2026-07-23,601628,中国人寿,13,2,41.73,39.73,-4.79,2,False,98.09,111.77,24.97,8.15,8.14,1.97,39.61,全样本(基准)
个股,2026-07-23,601658,邮储银行,26,2,5.11,5.09,-0.39,2,False,56.75,96.84,24.84,6.98,68.45,0.59,13.59,全样本(基准)
个股,2026-07-23,601668,中国建筑,85,2,4.7,4.63,-1.49,2,False,91.43,103.95,36.68,5.12,62.12,0.39,1.25,全样本(基准)
个股,2026-07-23,601688,华泰证券,90,2,20.85,20.28,-2.73,2,False,110.59,68.15,24.06,10.73,32.1,1.06,45.35,全样本(基准)
个股,2026-07-23,601728,中国电信,29,2,6.04,6.12,1.32,2,False,57.99,64.99,29.57,17.45,48.87,1.18,46.43,全样本(基准)
个股,2026-07-23,601816,京沪高铁,57,2,5.04,4.99,-0.99,2,False,98.44,88.26,56.01,18.47,4.75,1.17,6.27,全样本(基准)
个股,2026-07-23,601818,光大银行,92,2,3.16,3.17,0.32,2,False,68.7,88.92,23.67,4.94,44.39,0.37,2.6,全样本(基准)
个股,2026-07-23,601857,中国石油,5,2,10.88,10.9,0.18,2,False,88.42,91.24,25.73,12.59,55.47,1.23,88.82,全样本(基准)
个股,2026-07-23,601869,长飞光纤,50,2,356.12,335.89,-5.68,2,False,18.44,-14.78,64.62,254.79,94.54,20.72,96.29,全样本(基准)
个股,2026-07-23,601898,中煤能源,88,2,14.27,13.84,-3.01,2,False,103.67,29.43,16.85,10.65,53.98,1.15,90.31,全样本(基准)
个股,2026-07-23,601899,紫金矿业,17,2,33.06,31.77,-3.9,2,False,97.9,88.54,14.09,14.25,15.37,4.46,83.61,全样本(基准)
个股,2026-07-23,601919,中远海控,63,2,15.27,15.31,0.26,2,False,101.14,109.45,33.84,9.31,58.51,0.99,29.93,全样本(基准)
个股,2026-07-23,601939,建设银行,2,2,10.24,10.36,1.17,2,False,64.56,72.84,84.43,7.84,96.53,0.76,69.64,全样本(基准)
个股,2026-07-23,601985,中国核电,91,2,9.09,8.86,-2.53,2,False,94.73,64.64,84.22,22.71,89.3,1.56,36.96,全样本(基准)
