排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
51,603986,兆易创新,44.83,1.79,13.97,58.86,-0.67,27.43,383.2,-1.46,34.02,10.97,7.24,41.66,405.164,504.072,0.0,-5.42,0.77,0.45,91.99,19.09,72.07,半导体
52,688802,沐曦股份-U,29.23,-5.93,41.93,30.48,-1.83,54.37,660.15,-0.6,29688.66,98.28,19.04,37.93,704.227,759.007,0.0,-6.26,0.62,0.49,4.02,98.28,37.93,半导体
53,688808,联讯仪器,95.54,98.6,78.52,81.42,76.7,65.92,2528.0,5.34,379.31,7.69,76.61,52.75,2284.351,2158.73,1.0,10.67,1.18,0.86,25.68,7.69,52.75,通用设备
54,600150,中国船舶,54.23,45.29,29.75,67.31,45.25,31.08,34.32,1.15,18.42,25.51,1.7,21.57,33.975,34.41,0.0,1.02,1.37,1.33,34.84,0.25,6.86,航海装备Ⅱ
55,601225,陕西煤业,22.3,95.21,88.24,40.51,109.43,86.58,26.24,0.54,12.47,89.88,2.52,90.02,26.019,24.29,1.0,0.85,0.69,0.71,7.5,82.4,82.64,煤炭开采
56,601919,中远海控,-2.99,87.37,87.73,6.26,100.78,78.07,16.57,0.73,9.46,58.43,1.08,42.61,16.378,15.027,1.0,1.17,0.76,0.77,12.0,93.55,73.97,航运港口
57,002379,宏桥控股,76.74,71.13,11.03,63.31,68.74,5.45,19.21,5.09,10.15,64.61,4.32,81.76,18.965,17.819,1.0,1.29,1.43,0.99,12.72,86.45,68.51,工业金属
58,688795,摩尔线程-U,38.4,-3.59,7.32,53.13,-0.24,15.39,525.17,-1.47,-332.94,41.76,20.27,0.55,553.786,611.742,0.0,-5.17,0.62,0.45,2.76,41.76,0.55,半导体
59,002714,牧原股份,92.68,103.56,53.42,97.28,103.76,42.53,42.08,0.12,-216.74,13.11,3.07,11.59,40.259,38.249,1.0,4.52,0.56,0.53,11.25,15.21,20.17,养殖业
60,600309,万华化学,82.32,98.9,26.81,70.58,94.84,24.69,77.38,2.93,14.71,38.1,2.13,11.12,75.022,72.837,1.0,3.14,0.99,1.16,31.24,37.85,19.34,化学制品
