市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
HK,2026-07-31,001801,信达生物,81,2,86.7,90.3,4.15,2,False,6.28,67.29,37.52,167.57,,7.02,,全样本(基准)
HK,2026-07-31,001810,小米集团-W,20,2,28.78,27.64,-3.96,2,False,56.37,80.06,14.57,18.77,,2.48,,全样本(基准)
HK,2026-07-31,001816,中广核电力,86,2,2.89,2.88,-0.35,2,False,48.81,49.22,6.23,13.72,,1.02,,全样本(基准)
HK,2026-07-31,001898,中煤能源,89,2,10.71,10.44,-2.52,2,False,35.99,26.91,6.79,8.82,,0.76,,全样本(基准)
HK,2026-07-31,001919,中远海控,54,2,15.77,15.19,-3.68,2,False,81.31,111.77,59.13,8.55,,0.9,,全样本(基准)
HK,2026-07-31,001929,周大福,99,2,12.37,12.37,0.0,0,True,37.02,64.94,14.53,13.55,,3.94,,全样本(基准)
HK,2026-07-31,001972,太古地产,90,2,23.9,24.0,0.42,2,False,91.34,96.31,24.52,-89.76,,0.51,,全样本(基准)
HK,2026-07-31,001988,民生银行,75,2,3.63,3.48,-4.13,2,False,89.2,108.28,20.17,4.81,,0.24,,全样本(基准)
HK,2026-07-31,002020,安踏体育,57,2,78.95,75.55,-4.31,2,False,74.11,101.95,39.92,14.68,,3.03,,全样本(基准)
HK,2026-07-31,002057,中通快递-W,88,2,186.8,190.8,2.14,2,False,35.43,82.01,62.44,13.86,,2.04,,全样本(基准)
HK,2026-07-31,002259,紫金黄金国际,43,2,118.2,129.0,9.14,2,False,77.38,72.74,-4.64,25.38,,4.85,,全样本(基准)
HK,2026-07-31,002269,药明生物,74,2,38.74,40.62,4.85,2,False,47.98,95.98,46.64,29.54,,3.06,,全样本(基准)
HK,2026-07-31,002318,中国平安,13,2,58.65,58.0,-1.11,2,False,97.26,84.5,10.69,7.16,,0.92,,全样本(基准)
HK,2026-07-31,002328,中国财险,37,2,16.4,16.0,-2.44,2,False,92.59,78.62,24.95,8.64,,1.1,,全样本(基准)
HK,2026-07-31,002338,潍柴动力,48,2,32.94,35.32,7.23,2,False,61.83,15.01,61.07,22.48,,2.66,,全样本(基准)
HK,2026-07-31,002359,药明康德,31,2,160.7,183.5,14.19,2,False,66.01,93.59,90.73,20.99,,5.03,,全样本(基准)
HK,2026-07-31,002378,保诚,45,2,118.6,113.7,-4.13,2,False,98.18,102.76,37.63,9.59,,1.93,,全样本(基准)
HK,2026-07-31,002388,中银香港,25,2,52.2,50.65,-2.97,2,False,97.6,99.65,81.56,13.76,,1.54,,全样本(基准)
HK,2026-07-31,002423,贝壳-W,83,2,43.42,44.6,2.72,2,False,53.64,73.92,39.97,39.47,,2.1,,全样本(基准)
HK,2026-07-31,002476,胜宏科技,70,2,184.4,221.2,19.96,2,False,10.75,-9.45,,34.61,,8.16,,全样本(基准)
HK,2026-07-31,002513,智谱,32,2,987.5,1041.0,5.42,2,False,21.06,-7.29,38.69,-88.4,,-4.44,,全样本(基准)
HK,2026-07-31,002600,中国铝业,87,2,8.46,8.64,2.13,2,False,68.83,23.52,-6.11,8.82,,1.59,,全样本(基准)
HK,2026-07-31,002601,中国太保,47,2,30.56,30.44,-0.39,2,False,75.37,65.02,4.43,4.89,,0.81,,全样本(基准)
HK,2026-07-31,002611,国泰海通,50,2,14.93,14.63,-2.01,2,False,24.04,69.3,23.02,10.63,,0.71,,全样本(基准)
HK,2026-07-31,002628,中国人寿,17,2,29.2,29.26,0.21,2,False,108.32,43.1,30.51,5.11,,1.22,,全样本(基准)
HK,2026-07-31,002714,牧原股份,67,2,33.12,31.4,-5.19,2,False,42.41,78.2,4.24,17.54,,1.96,,全样本(基准)
HK,2026-07-31,002888,渣打集团,28,2,237.6,234.0,-1.52,2,False,88.17,95.84,96.49,12.32,,1.43,,全样本(基准)
HK,2026-07-31,002899,紫金矿业,15,2,33.24,35.2,5.9,2,False,70.55,84.93,6.76,12.8,,3.96,,全样本(基准)
HK,2026-07-31,003288,海天味业,66,2,32.88,32.34,-1.64,2,False,76.37,92.51,37.23,23.54,,4.04,,全样本(基准)
HK,2026-07-31,003328,交通银行,21,2,7.56,7.33,-3.04,2,False,87.34,71.8,73.22,6.19,,0.51,,全样本(基准)
HK,2026-07-31,003606,福耀玻璃,77,2,59.4,57.85,-2.61,2,False,91.89,96.18,22.69,15.43,,3.5,,全样本(基准)
HK,2026-07-31,003690,美团-W,24,2,92.5,93.05,0.59,2,False,87.41,111.45,52.21,-12.84,,3.36,,全样本(基准)
HK,2026-07-31,003692,翰森制药,64,2,32.18,31.42,-2.36,2,False,22.8,68.67,1.77,31.73,,4.98,,全样本(基准)
HK,2026-07-31,003750,宁德时代,3,2,622.5,663.0,6.51,2,False,47.17,8.15,59.83,29.89,,6.59,,全样本(基准)
HK,2026-07-31,003968,招商银行,11,2,50.9,48.76,-4.2,2,False,93.94,100.29,47.73,7.61,,1.0,,全样本(基准)
HK,2026-07-31,003986,兆易创新,42,2,459.0,486.0,5.88,2,False,20.06,-15.25,40.94,99.87,,11.24,,全样本(基准)
HK,2026-07-31,003988,中国银行,10,2,5.51,5.27,-4.36,2,False,96.56,78.41,85.64,6.47,,0.57,,全样本(基准)
HK,2026-07-31,003993,洛阳钼业,38,2,16.89,18.47,9.35,2,False,32.51,38.7,4.68,13.37,,3.59,,全样本(基准)
HK,2026-07-31,006030,中信证券,35,2,27.32,27.28,-0.15,2,False,11.79,63.32,42.72,10.74,,1.23,,全样本(基准)
HK,2026-07-31,006031,三一重工,65,2,21.1,21.16,0.28,2,False,82.84,70.18,13.63,20.55,,1.89,,全样本(基准)
HK,2026-07-31,006099,招商证券,96,2,14.57,14.95,2.61,2,False,26.41,2.33,47.35,8.52,,0.9,,全样本(基准)
HK,2026-07-31,006160,百济神州,44,2,194.0,198.7,2.42,2,False,43.64,101.35,31.63,74.67,,8.81,,全样本(基准)
HK,2026-07-31,006618,京东健康,98,2,39.4,39.36,-0.1,2,False,70.89,92.47,-7.28,21.12,,1.9,,全样本(基准)
HK,2026-07-31,006690,海尔智家,60,2,22.6,21.06,-6.81,2,False,91.92,97.97,16.33,10.11,,1.49,,全样本(基准)
HK,2026-07-31,006809,澜起科技,41,2,269.0,270.4,0.52,2,False,12.93,1.03,55.4,114.58,,13.93,,全样本(基准)
HK,2026-07-31,006818,中国光大银行,69,2,3.19,3.11,-2.51,2,False,73.01,48.34,12.77,4.44,,0.33,,全样本(基准)
HK,2026-07-31,006886,华泰证券,79,2,16.89,16.9,0.06,2,False,18.88,51.8,16.93,7.77,,0.76,,全样本(基准)
HK,2026-07-31,006936,顺丰控股,71,2,33.82,33.04,-2.31,2,False,93.14,112.65,45.18,13.95,,1.5,,全样本(基准)
