排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
87,01336,新华保险,26.01,78.85,5.59,41.76,91.74,0.28,47.58,-1.57,2.96,,1.04,,47.564,47.688,0.0,0.03,0.77,0.72,2.66,,,
88,01898,中煤能源,17.24,73.42,15.25,29.42,90.74,20.47,11.14,-2.11,8.47,,0.77,,11.482,10.856,1.0,-2.98,0.93,1.09,1.81,,,
89,09973,奇瑞汽车,25.73,39.9,13.84,20.13,58.48,20.72,24.94,0.16,7.14,,2.32,,25.659,25.577,1.0,-2.8,0.53,0.37,0.2,,,
90,00027,银河娱乐,35.28,48.4,22.05,24.21,77.0,21.23,32.78,2.18,13.4,,1.7,,34.151,32.644,1.0,-4.01,1.0,0.86,3.02,,,
91,02600,中国铝业,23.94,77.42,-6.48,60.98,96.15,-6.6,8.35,-4.68,7.18,,1.47,,8.579,8.254,1.0,-2.73,1.0,1.16,3.77,,,
92,03606,福耀玻璃,26.68,57.85,32.8,44.54,69.45,29.56,54.85,0.0,14.89,,3.26,,56.002,54.551,1.0,-2.06,0.38,0.45,0.74,,,
93,01972,太古地产,81.86,85.07,52.17,92.39,94.41,39.26,24.4,-0.97,42.57,,0.52,,24.587,23.024,1.0,-0.76,0.94,0.84,0.49,,,
94,01776,广发证券,7.53,73.05,68.4,9.95,91.53,65.19,17.77,-2.42,6.47,,0.87,,17.967,17.415,1.0,-1.1,0.82,0.85,0.91,,,
95,00688,中国海外发展,29.71,28.77,15.9,34.5,58.01,22.36,12.48,-2.35,10.74,,0.3,,13.384,13.196,1.0,-6.75,0.82,0.67,2.57,,,
96,01024,快手-W,1.84,-4.59,-9.94,6.02,-1.0,-9.83,31.26,-1.26,7.59,,1.43,,34.144,40.284,0.0,-8.45,0.71,0.54,9.0,,,
97,01377,鼎泰高科,25.23,27.86,,36.43,34.67,,317.4,-0.56,123.84,,36.31,,339.14,,,-6.41,0.98,0.78,0.34,,,
98,00003,香港中华煤气,72.27,69.32,52.34,97.93,79.19,42.53,7.18,-1.64,21.05,,2.23,,7.232,6.925,1.0,-0.72,0.91,0.62,1.61,,,
99,00006,电能实业,107.78,81.93,47.86,114.89,80.32,50.12,61.2,0.08,7.29,,1.26,,60.635,58.925,1.0,0.93,1.7,1.88,3.21,,,
100,01171,兖矿能源,25.74,92.51,35.71,46.96,105.18,36.19,12.98,-2.26,10.01,,1.49,,13.152,12.18,1.0,-1.31,0.91,1.03,4.07,,,
101,00012,恒基地产,14.32,26.59,0.45,21.81,58.89,6.48,26.08,-2.54,,,,,27.649,27.023,1.0,-5.67,1.3,0.87,,,,
102,06099,招商证券,-1.66,27.32,42.74,2.84,35.32,55.39,14.68,-2.97,,,,,15.261,15.688,0.0,-3.81,1.15,1.01,,,,
103,06613,蓝思科技,-4.95,57.17,43.69,-6.5,58.92,49.42,22.4,-1.67,,,,,23.744,23.361,1.0,-5.66,1.1,0.68,,,,
104,00358,江西铜业股份,45.93,60.15,13.0,84.44,78.82,14.68,34.96,-9.19,,,,,37.379,35.266,1.0,-6.47,3.05,2.94,,,,
