市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,量比,策略
个股,2026-07-19,001399,惠科股份,98,1,23.51,25.34,7.63,1,-3.5,,,45.33,6.25,6.5,6.25,,,,全样本(基准)
个股,2026-07-19,600031,XD三一重,99,1,18.65,19.56,4.73,1,37.35,55.04,1.92,20.37,45.05,1.89,8.88,,,,全样本(基准)
个股,2026-07-19,601995,中金公司,100,1,35.15,35.76,1.59,1,25.27,66.35,55.45,15.08,2.6,1.66,12.06,,,,全样本(基准)
个股,2026-07-19,601398,工商银行,1,5,7.57,7.75,2.23,5,99.51,57.63,45.93,7.27,88.65,0.68,53.98,,,,全样本(基准)
个股,2026-07-19,601939,建设银行,2,5,10.16,10.26,0.83,5,91.89,51.42,81.6,7.78,96.19,0.75,68.71,,,,全样本(基准)
个股,2026-07-19,601288,农业银行,3,5,6.39,6.66,4.08,5,104.28,47.06,-1.45,7.6,88.75,0.79,73.97,,,,全样本(基准)
个股,2026-07-19,600941,中国移动,4,5,93.4,94.69,1.23,5,94.37,36.13,26.26,14.91,35.73,1.42,27.8,,,,全样本(基准)
个股,2026-07-19,601988,中国银行,5,5,5.96,6.01,0.69,5,99.79,52.06,76.77,7.83,98.26,0.7,82.28,,,,全样本(基准)
个股,2026-07-19,601857,中国石油,6,5,10.29,11.03,7.04,5,105.04,50.03,16.26,11.91,52.44,1.16,81.17,,,,全样本(基准)
个股,2026-07-19,300750,宁德时代,7,5,358.6,381.61,6.27,5,57.12,-1.91,25.95,21.09,15.11,4.66,26.4,,,,全样本(基准)
个股,2026-07-19,600519,贵州茅台,8,5,1253.0,1297.41,3.39,5,94.55,56.4,17.57,18.94,1.3,5.78,1.01,,,,全样本(基准)
个股,2026-07-19,600938,中国海油,9,5,28.97,31.91,10.0,5,71.31,23.19,2.09,11.05,83.37,1.64,58.27,,,,全样本(基准)
个股,2026-07-19,688981,中芯国际,10,5,139.88,143.73,2.6,5,7.11,51.83,73.83,237.33,95.67,7.99,94.92,,,,全样本(基准)
个股,2026-07-19,601138,工业富联,11,5,56.94,59.6,4.52,5,5.08,-9.74,36.42,28.11,88.51,6.49,90.09,,,,全样本(基准)
个股,2026-07-19,601628,中国人寿,12,5,39.05,40.31,3.08,5,60.32,96.46,14.34,7.62,6.37,1.84,24.96,,,,全样本(基准)
个股,2026-07-19,300308,中际旭创,13,5,979.46,1046.51,6.7,5,25.21,1.53,64.92,73.07,78.75,30.69,97.73,,,,全样本(基准)
个股,2026-07-19,600036,招商银行,14,5,38.02,39.2,2.95,5,93.67,88.94,28.2,6.36,21.83,0.85,5.7,,,,全样本(基准)
个股,2026-07-19,601088,中国神华,15,5,43.95,45.7,3.83,5,90.01,38.04,34.12,18.49,97.1,1.98,89.09,,,,全样本(基准)
